emis_variables,met_variables,hour_begin_seq,# of starting poins,MAE_validation,RMSE_validation,Percentage_error_validation,RMSE_test,Date
['NO2'],['WSPD10'],"[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.00272985,0.003701139,0.15009674,0.004806357,11/3/2020 17:09
"['NO2', 'CH4']","['WSPD10', 'WDIR10']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.002627628,0.003562786,0.14448595,0.005253963,11/3/2020 17:29
"['NO', 'NO2', 'CH4']","['TEMP2', 'WSPD10', 'WDIR10']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.002895425,0.003748737,0.15202704,0.004731095,11/3/2020 18:07
"['NO', 'NO2', 'CH4', 'VOC_BEIS', 'VOC_INV']","['TEMP2', 'WSPD10', 'WDIR10', 'Q2', 'RC', 'GSW']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.002371558,0.003284251,0.13319017,0.005536839,11/3/2020 20:17
['VOC_INV'],['RC'],"[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.002557995,0.003477683,0.14103463,0.009592652,11/5/2020 21:59
"['VOC_BEIS', 'VOC_INV']","['RC', 'GSW']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.002177187,0.003008214,0.12199571,0.005523021,11/5/2020 22:18
"['NO', 'NO2', 'CH4']","['TEMP2', 'WSPD10', 'WDIR10', 'Q2']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.002925703,0.003827508,0.15522154,0.004880448,11/6/2020 0:12
"['NO', 'NO2', 'CH4', 'VOC_BEIS', 'VOC_INV']","['TEMP2', 'WSPD10', 'WDIR10', 'Q2', 'RC', 'GSW']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.00233055,0.003323543,0.13478361,0.005330517,11/6/2020 0:53
['ACET'],['PRSFC'],"[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.002570525,0.003469355,0.14069691,0.009228217,11/6/2020 1:10
['NO'],['TEMP2'],"[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.002722232,0.003630495,0.14723182,0.004244044,11/6/2020 1:29
['NO2'],['WSPD10'],"[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.002531345,0.003523301,0.14288466,0.004624696,11/6/2020 9:13
"['ACROLEIN', 'ACET']","['USTAR', 'PRSFC']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.002590279,0.003504465,0.14212076,0.009150082,11/6/2020 9:56
['NO'],['TEMP2'],"[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0027835886,0.0035552098,0.14417869,0.003998539,2020-11-09 22:43:47
['NO'],['TEMP2'],"[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0027134283,0.0037171415,0.1507457,0.0041608145,2020-11-09 23:00:01
['NO'],['TEMP2'],"[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0025498772,0.0034696704,0.14070971,0.004367488,2020-11-09 23:10:20
['NO'],['TEMP2'],"[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0026010773,0.0036033115,0.14612941,0.0042228973,2020-11-09 23:23:15
['NO'],['TEMP2'],"[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.002571487,0.0034623828,0.14041416,0.0046914686,2020-11-09 23:39:54
['NO'],['TEMP2'],"[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.002535595,0.0035637263,0.14452407,0.0042627314,2020-11-09 23:52:10
['NO'],['TEMP2'],"[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0026930852,0.0035732915,0.14491197,0.004043848,2020-11-10 00:11:12
['NO'],['TEMP2'],"[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0027759436,0.003559628,0.14435787,0.004163949,2020-11-10 00:22:11
['NO'],['TEMP2'],"[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0026159447,0.0034492356,0.139881,0.004283119,2020-11-10 00:36:08
['NO'],['TEMP2'],"[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0025878418,0.0035451076,0.14376901,0.0041875355,2020-11-10 00:55:47
['NO2'],['WSPD10'],"[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.002605284,0.0035158182,0.1425812,0.0043129525,2020-11-10 09:46:02
['NO2'],['WSPD10'],"[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.002493998,0.0035186694,0.14269683,0.004378298,2020-11-10 10:03:03
['NO2'],['WSPD10'],"[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0024786924,0.0034697554,0.14071316,0.0040388033,2020-11-10 13:47:34
['NO2'],['WSPD10'],"[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0025824006,0.0034989114,0.14189556,0.0043035545,2020-11-10 16:23:52
['NO2'],['WSPD10'],"[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.002720432,0.0035948227,0.14578517,0.0046656188,2020-11-10 16:51:13
